Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,[LABEL]: ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,18.0,5.0,200.0,2000.08,0.16,34.28,0,0
0:02,18.0,5.0,200.0,2002.28,2.4,34.16,0,0
0:03,18.0,5.0,200.0,2004.34,2.12,34.04,0,0
0:04,18.0,5.0,200.0,2006.46,2.24,33.92,0,0
0:05,18.0,5.0,200.0,2008.45,1.98,33.8,0,0
0:06,18.0,5.0,200.0,2010.48,2.07,33.69,0,0
0:07,18.0,5.0,200.0,2012.38,1.81,33.58,0,0
0:08,18.0,5.0,200.0,2014.19,1.62,33.47,0,0
0:09,18.0,5.0,200.0,2016.06,1.74,33.37,0,0
0:10,18.0,5.0,200.0,2017.82,1.52,33.27,0,0
0:11,18.0,5.0,200.0,2019.77,1.91,33.16,0,0
0:12,18.0,5.0,200.0,2021.9,2.26,33.03,0,0
0:13,18.0,5.0,200.0,2024.01,2.23,32.91,0,0
0:14,18.0,5.0,200.0,2026.15,2.28,32.79,0,0
0:15,18.0,5.0,200.0,2027.91,1.52,32.69,0,0
0:16,18.0,5.0,200.0,2029.94,2.06,32.57,0,0
0:17,18.0,5.0,200.0,2031.76,1.64,32.47,0,0
0:18,18.0,5.0,200.0,2033.68,1.84,32.36,0,0
0:19,18.0,5.0,200.0,2035.79,2.22,32.24,0,0
0:20,18.0,5.0,200.0,2037.98,2.39,32.12,0,0
0:21,18.0,5.0,200.0,2039.94,1.92,32.0,0,0
0:22,18.0,5.0,200.0,2041.75,1.63,31.9,0,0
0:23,18.0,5.0,200.0,2043.85,2.2,31.78,0,0
0:24,18.0,5.0,200.0,2046.04,2.39,31.65,0,0
0:25,18.0,5.0,200.0,2047.86,1.65,31.55,0,0
0:26,18.0,5.0,200.0,2049.72,1.72,31.44,0,0
0:27,18.0,5.0,200.0,2051.94,2.45,31.32,0,0
0:28,18.0,5.0,200.0,2054.18,2.49,31.19,0,0
0:29,18.0,5.0,200.0,2055.97,1.59,31.09,0,0
0:30,18.0,5.0,200.0,2058.0,2.07,30.97,0,0
0:31,18.0,5.0,200.0,2060.08,2.17,30.85,0,0
0:32,18.0,5.0,200.0,2061.83,1.51,30.75,0,0
0:33,18.0,5.0,200.0,2063.6,1.54,30.65,0,0
0:34,18.0,5.0,200.0,2065.57,1.94,30.54,0,0
0:35,18.0,5.0,200.0,2067.38,1.63,30.44,0,0
0:36,18.0,5.0,200.0,2069.6,2.45,30.31,0,0
0:37,18.0,5.0,200.0,2071.53,1.86,30.2,0,0
0:38,18.0,5.0,200.0,2073.76,2.47,30.07,0,0
0:39,18.0,5.0,200.0,2075.58,1.65,29.97,0,0
0:40,18.0,5.0,200.0,2077.7,2.24,29.85,0,0
0:41,18.0,5.0,200.0,2079.76,2.13,29.73,0,0
0:42,18.0,5.0,200.0,2081.92,2.32,29.6,0,0
0:43,18.0,5.0,200.0,2083.92,2.0,29.49,0,0
0:44,18.0,5.0,200.0,2085.94,2.05,29.37,0,0
0:45,18.0,5.0,200.0,2087.97,2.06,29.26,0,0
0:46,18.0,5.0,200.0,2089.88,1.83,29.15,0,0
0:47,18.0,5.0,200.0,2091.64,1.52,29.05,0,0
0:48,18.0,5.0,200.0,2093.78,2.29,28.93,0,0
