Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,LABEL_ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,13,3,0,2000.2,0.4,34.27,0,0
0:02,13.01,3,-0.39,1999.99,-0.42,34.29,0,0
0:03,13,3,0.02,1999.99,0,34.29,0,0
0:04,13,3,0.02,1999.8,-0.38,34.3,0,0
0:05,13.01,3,0.4,2000.05,0.49,34.28,0,0
0:06,13,3,-0.09,2000.15,0.2,34.28,0,0
0:07,13.01,3,-0.29,2000.25,0.21,34.27,0,0
0:08,13.01,3,-0.49,2000.13,-0.23,34.28,0,0
0:09,13.01,3,-0.25,1999.94,-0.38,34.29,0,0
0:10,13,3,0.12,1999.72,-0.43,34.3,0,0
0:11,13.01,3.01,0.56,1999.86,0.27,34.29,0,0
0:12,13.01,3,0.28,1999.74,-0.25,34.3,0,0
0:13,13.01,3.01,0.52,1999.66,-0.16,34.31,0,0
0:14,13.02,3.01,0.68,1999.7,0.08,34.3,0,0
0:15,13.01,3.01,0.6,1999.55,-0.31,34.31,0,0
0:16,13.02,3.01,0.9,1999.59,0.07,34.31,0,0
0:17,13.02,3.01,0.82,1999.5,-0.19,34.31,0,0
0:18,13.02,3.01,1,1999.75,0.49,34.3,0,0
0:19,13.01,3,0.5,1999.84,0.18,34.29,0,0
0:20,13.01,3,0.32,1999.79,-0.1,34.3,0,0
0:21,13.01,3,0.42,1999.61,-0.37,34.31,0,0
0:22,13.02,3.01,0.78,1999.47,-0.28,34.32,0,0
0:23,13.03,3.01,1.06,1999.58,0.21,34.31,0,0
0:24,13.02,3.01,0.84,1999.47,-0.23,34.32,0,0
0:25,13.03,3.01,1.06,1999.61,0.28,34.31,0,0
0:26,13.02,3.01,0.78,1999.77,0.3,34.3,0,0
0:27,13.01,3,0.46,1999.59,-0.37,34.31,0,0
0:28,13.02,3.01,0.82,1999.46,-0.27,34.32,0,0
0:29,13,3,0,2000,0,34.29,0,0
0:30,25.5,8,-499.99,1999.98,-0.04,34.29,0,1
0:31,25.5,8,-499.99,1994.91,-5.13,34.58,0,1
0:32,25.5,8,-499.99,1989.92,-4.97,34.86,0,1
0:33,25.5,8,-499.99,1984.71,-5.42,35.16,0,1
0:34,25.5,8,-499.99,1979.68,-5.05,35.45,0,1
0:35,25.5,8,-499.99,1974.79,-4.77,35.73,0,1
0:36,25.5,8,-499.99,1969.85,-4.87,36.01,0,1
0:37,25.5,8,-499.99,1965.09,-4.52,36.28,0,1
