Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,[LABEL]: ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,18.0,5.0,200.0,2000.02,0.04,34.28,0,0
0:02,18.0,5.0,200.0,2001.88,1.72,34.18,0,0
0:03,18.0,5.0,200.0,2004.04,2.33,34.05,0,0
0:04,18.0,5.0,200.0,2006.02,1.96,33.94,0,0
0:05,18.0,5.0,200.0,2008.26,2.48,33.81,0,0
0:06,18.0,5.0,200.0,2010.5,2.49,33.69,0,0
0:07,18.0,5.0,200.0,2012.65,2.31,33.56,0,0
0:08,18.0,5.0,200.0,2014.82,2.34,33.44,0,0
0:09,18.0,5.0,200.0,2016.6,1.57,33.34,0,0
0:10,18.0,5.0,200.0,2018.56,1.93,33.23,0,0
0:11,18.0,5.0,200.0,2020.32,1.53,33.12,0,0
0:12,18.0,5.0,200.0,2022.27,1.9,33.01,0,0
0:13,18.0,5.0,200.0,2024.27,2.01,32.9,0,0
0:14,18.0,5.0,200.0,2026.39,2.24,32.78,0,0
0:15,18.0,5.0,200.0,2028.42,2.07,32.66,0,0
0:16,18.0,5.0,200.0,2030.26,1.68,32.56,0,0
0:17,18.0,5.0,200.0,2032.31,2.1,32.44,0,0
0:18,18.0,5.0,200.0,2034.47,2.33,32.32,0,0
0:19,18.0,5.0,200.0,2036.36,1.78,32.21,0,0
0:20,18.0,5.0,200.0,2038.33,1.94,32.1,0,0
0:21,18.0,5.0,200.0,2040.29,1.93,31.98,0,0
0:22,18.0,5.0,200.0,2042.04,1.51,31.88,0,0
0:23,18.0,5.0,200.0,2043.91,1.75,31.78,0,0
0:24,18.0,5.0,200.0,2045.77,1.73,31.67,0,0
0:25,18.0,5.0,200.0,2047.58,1.63,31.57,0,0
0:26,18.0,5.0,200.0,2049.61,2.06,31.45,0,0
0:27,18.0,5.0,200.0,2051.52,1.82,31.34,0,0
0:28,18.0,5.0,200.0,2053.39,1.74,31.23,0,0
0:29,18.0,5.0,200.0,2055.43,2.09,31.12,0,0
0:30,18.0,5.0,200.0,2057.42,1.99,31.0,0,0
0:31,18.0,5.0,200.0,2059.17,1.5,30.9,0,0
0:32,18.0,5.0,200.0,2061.2,2.06,30.79,0,0
0:33,18.0,5.0,200.0,2063.12,1.84,30.68,0,0
0:34,18.0,5.0,200.0,2064.88,1.53,30.58,0,0
