Time,VOLTAGE,CURRENT,THRUST,ALTITUDE,ACCELERATION,TEMPERATURE,SCIENCE_COLLECTION,LABEL_ERROR_STATE
0:00,13,3,0,2000,0,34.29,0,0
0:01,13.0,3.0,0.0,2000.02,0.04,34.28,1,0
0:02,13.0,3.0,-0.03,1999.97,-0.1,34.29,1,0
0:03,13.0,3.0,0.06,1999.74,-0.46,34.3,1,0
0:04,13.01,3.01,0.52,1999.95,0.41,34.29,1,0
0:05,13.0,3.0,0.1,1999.96,0.02,34.29,1,0
0:06,13.0,3.0,0.08,2000.12,0.31,34.28,1,0
0:07,13.01,3.0,-0.23,2000.15,0.05,34.28,1,0
0:08,13.01,3.0,-0.29,2000.38,0.47,34.26,1,0
0:09,13.02,3.01,-0.75,2000.22,-0.31,34.27,1,0
0:10,13.01,3.0,-0.43,2000.19,-0.05,34.27,1,0
0:11,13.01,3.0,-0.37,2000.17,-0.04,34.28,1,0
0:12,13.01,3.0,-0.33,2000.17,0.0,34.28,1,0
0:13,13.01,3.0,-0.33,2000.23,0.12,34.27,1,0
0:14,13.01,3.0,-0.45,2000.32,0.19,34.27,1,0
0:15,13.02,3.01,-0.63,2000.19,-0.25,34.27,1,0
0:16,13.01,3.0,-0.37,2000.14,-0.1,34.28,1,0
0:17,13.01,3.0,-0.27,2000.3,0.33,34.27,1,0
0:18,13.01,3.01,-0.59,2000.08,-0.44,34.28,1,0
0:19,13.0,3.0,-0.15,2000.05,-0.05,34.28,1,0
0:20,13.0,3.0,-0.09,1999.84,-0.41,34.29,1,0
0:21,13.01,3.0,0.32,1999.95,0.22,34.29,1,0
0:22,13.0,3.0,0.1,1999.97,0.04,34.29,1,0
0:23,13.0,3.0,0.06,2000.07,0.19,34.28,1,0
0:24,13.0,3.0,-0.13,1999.95,-0.24,34.29,1,0
0:25,13.0,3.0,0.1,2000.04,0.19,34.28,1,0
0:26,13.0,3.0,-0.07,2000.02,-0.04,34.28,1,0
0:27,13.0,3.0,-0.03,1999.78,-0.48,34.3,1,0
0:28,13.01,3.0,0.44,1999.61,-0.33,34.31,1,0
0:29,13.02,3.01,0.78,1999.61,0.0,34.31,1,0
0:30,13.02,3.01,0.78,1999.41,-0.4,34.32,1,0
0:31,13.03,3.01,1.18,1999.47,0.11,34.32,1,0
0:32,13.03,3.01,1.06,1999.33,-0.3,34.32,1,0
0:33,13.03,3.01,1.34,1999.51,0.35,34.31,1,0
0:34,13.02,3.01,0.98,1999.65,0.27,34.31,1,0
0:35,13.02,3.01,0.7,1999.9,0.49,34.29,1,0
0:36,13.0,3.0,0.2,2000.04,0.28,34.28,1,0
0:37,13.0,3.0,-0.07,1999.9,-0.28,34.29,1,0
0:38,13.0,3.0,0.2,1999.7,-0.4,34.3,1,0
0:39,13.01,3.01,0.6,1999.83,0.26,34.3,1,0
0:40,13.01,3.0,0.34,1999.94,0.22,34.29,1,0
0:41,13.0,3.0,0.12,2000.19,0.49,34.27,1,0
0:42,13.01,3.0,-0.37,2000.28,0.17,34.27,1,0
0:43,13.01,3.01,-0.55,2000.34,0.13,34.27,1,0
0:44,13.02,3.01,-0.67,2000.13,-0.42,34.28,1,0
0:45,13.01,3.0,-0.25,2000.23,0.2,34.27,1,0
0:46,13.01,3.0,-0.45,2000.41,0.36,34.26,1,0
0:47,13.02,3.01,-0.81,2000.47,0.13,34.26,1,0
0:48,13.02,3.01,-0.93,2000.48,0.02,34.26,1,0
0:49,13.02,3.01,-0.95,2000.62,0.28,34.25,1,0
0:50,13.03,3.01,-1.23,2000.4,-0.43,34.26,1,0
0:51,13.02,3.01,-0.79,2000.24,-0.31,34.27,1,0
