Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure
1,6,2.08,10.65,109.47,2.08,5.36,79.64,0,-0.1,-74.56,79,0,0.1,175,1524,100.17
2,17,2.1,10.8,109.5,2.1,5.31,90.81,0,-0.1,-74.56,103,0,0.1,176,1507,100.01
3,28,2.11,10.96,109.6,2.12,5.27,114.19,0,-0.1,-74.56,152,0,0.1,177,1483,99.67
4,39,2.13,11.11,109.7,2.14,5.22,146.31,0,-0.1,-74.56,221,0,0.1,179,1467,99.19
5,50,2.14,11.26,109.87,2.16,5.18,192.71,0,-0.1,-74.56,320,0,0.1,182,1448,98.51
6,61,2.16,11.39,110.09,2.18,5.14,246.37,0,-0.1,-74.56,436,0,0.1,185,1429,97.73
7,73,2.16,11.48,110.35,2.21,5.09,316.37,0,-0.1,-74.56,589,0,0.1,190,1410,96.72
8,84,2.17,11.62,110.66,2.23,5.05,391.99,0,-0.1,-74.56,753,0,0.1,196,1391,95.63
9,96,2.18,11.76,111.01,2.26,5,485.79,0,-0.1,-74.56,957,0,0.1,203,1373,94.3
10,107,2.19,12,111.33,2.29,4.96,583.32,0.01,-0.1,-74.56,1169,0,0.1,212,1358,92.93
11,119,2.2,12.46,111.76,2.32,4.91,700.69,0.02,-0.1,-74.56,1421,0,0.1,223,1341,91.3
12,131,2.21,12.48,112.24,2.35,4.87,819.68,0.04,-0.1,-74.55,1677,0,0.1,233,1322,89.68
13,143,2.23,12.62,112.75,2.38,4.82,960.33,0.06,-0.1,-74.55,1984,0,0.1,244,1305,87.78
14,155,2.26,12.7,113.31,2.42,4.78,1101.31,0.08,-0.1,-74.55,2299,0,0.1,254,1287,85.92
15,168,2.26,13.14,113.9,2.45,4.73,1266.38,0.12,-0.1,-74.55,2665,0,0.1,266,1269,83.77
16,180,2.28,13.14,114.41,2.48,4.69,1430.01,0.15,-0.1,-74.54,3032,0,0.11,278,1255,81.69
17,194,2.28,13.76,115.21,2.53,4.64,1619.41,0.19,-0.1,-74.54,3446,0,0.11,291,1233,79.34
18,206,2.3,13.77,115.77,2.56,4.6,1805.02,0.24,-0.1,-74.53,3854,0,0.12,304,1219,77.08
19,220,2.31,14.15,116.51,2.6,4.56,2017.73,0.3,-0.1,-74.53,4314,0,0.12,318,1200,74.56
20,233,2.34,14.3,117.26,2.65,4.51,2225.08,0.37,-0.1,-74.52,4781,0,0.13,332,1181,72.17
21,247,2.38,14.39,118.05,2.69,4.47,2462.15,0.45,-0.1,-74.51,5325,0,0.13,346,1162,69.51
22,261,2.4,14.72,118.85,2.74,4.42,2692.92,0.53,-0.1,-74.51,5863,0,0.13,360,1143,67
23,276,2.41,14.77,119.69,2.79,4.38,2956.03,0.62,-0.1,-74.5,6484,0,0.14,374,1122,64.22
24,290,2.42,14.85,120.37,2.83,4.33,3211.18,0.71,-0.1,-74.49,7091,0,0.14,388,1106,61.63
25,305,2.42,14.85,121.22,2.88,4.29,3501.05,0.82,-0.1,-74.48,7786,0,0.14,403,1085,58.78
