Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,7,2.14,11.28,112.84,2.15,5.36,79.82,0,-0.1,-74.56,80,0,0.1,175,1523,100.17,
2,18,2.16,11.44,112.88,2.16,5.31,91.65,0,-0.1,-74.56,105,0,0.1,176,1505,100,
3,30,2.18,11.61,112.97,2.19,5.26,116.41,0,-0.1,-74.56,159,0,0.1,177,1484,99.63,
4,41,2.19,11.76,113.12,2.21,5.22,150.44,0,-0.1,-74.56,234,0,0.1,180,1463,99.13,
5,53,2.21,11.92,113.27,2.23,5.17,199.57,0,-0.1,-74.56,343,0,0.1,183,1446,98.41,
6,65,2.22,12.06,113.51,2.25,5.13,256.4,0,-0.1,-74.56,470,0,0.1,186,1426,97.59,
7,77,2.23,12.15,113.81,2.28,5.08,330.52,0,-0.1,-74.56,636,0,0.1,191,1405,96.52,
8,89,2.24,12.31,114.09,2.31,5.04,410.6,0,-0.1,-74.56,816,0,0.1,198,1389,95.37,
9,102,2.25,12.55,114.48,2.34,4.99,509.93,0,-0.1,-74.56,1038,0,0.1,206,1370,93.96,
10,113,2.25,12.85,114.93,2.37,4.94,613.03,0.01,-0.1,-74.56,1267,0,0.1,216,1350,92.52,
11,126,2.27,12.94,115.33,2.4,4.9,736.83,0.02,-0.1,-74.56,1539,0,0.1,228,1335,90.81,
12,138,2.29,13.04,115.86,2.43,4.85,862.61,0.04,-0.1,-74.55,1825,0,0.1,238,1316,89.1,
13,152,2.31,13.18,116.45,2.47,4.81,1011.86,0.06,-0.1,-74.55,2170,0,0.11,249,1297,87.1,
14,164,2.3,13.72,116.96,2.5,4.76,1161.58,0.09,-0.1,-74.55,2508,0,0.11,260,1281,85.13,
15,178,2.32,13.99,117.63,2.54,4.71,1336.05,0.12,-0.1,-74.55,2895,0,0.12,274,1262,82.88,
16,190,2.35,15.25,118.35,2.58,4.67,1507.84,0.16,-0.1,-74.54,3257,0,0.12,288,1243,80.72,
17,204,2.36,14.38,118.94,2.62,4.62,1705.64,0.21,-0.1,-74.54,3705,0,0.13,303,1227,78.28,
18,217,2.37,15.25,119.71,2.66,4.58,1899.33,0.27,-0.1,-74.53,4123,0,0.14,317,1207,75.96,
19,232,2.4,15.1,120.53,2.71,4.53,2121.22,0.34,-0.1,-74.53,4629,0,0.14,332,1187,73.36,
20,246,2.44,15.1,121.21,2.75,4.49,2337.74,0.42,-0.1,-74.52,5134,0,0.15,346,1171,70.89,
21,261,2.45,15.42,122.06,2.8,4.44,2585.46,0.51,-0.1,-74.51,5714,0,0.16,362,1150,68.16,
22,276,2.48,15.65,122.97,2.85,4.39,2826.49,0.6,-0.1,-74.5,6293,0,0.16,376,1128,65.58,
23,292,2.49,15.69,123.7,2.9,4.35,3101.29,0.7,-0.1,-74.49,6958,0,0.17,392,1111,62.74,
