Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,8,2.46,14.38,112.83,2.14,5.36,79.57,0,-0.1,-74.56,80,0,0.1,175,1524,100.17,
2,29,3.24,21.99,168.51,3.25,5.29,98.24,0,-0.1,-74.56,140,0,0.1,177,1493,99.9,
3,52,3.27,22.34,168.74,3.29,5.22,140.03,0,-0.1,-74.56,277,0,0.1,182,1463,99.29,
4,74,3.3,22.63,169.11,3.35,5.15,200.64,0,-0.1,-74.56,477,0,0.1,190,1433,98.4,
5,97,3.32,22.83,169.63,3.4,5.08,287.93,0,-0.1,-74.56,768,0,0.1,201,1403,97.14,
6,120,3.33,23.04,170.15,3.45,5.01,396.45,0,-0.1,-74.56,1130,0,0.1,215,1379,95.58,
7,143,3.36,23.38,170.92,3.52,4.94,527.55,0.01,-0.1,-74.56,1565,0,0.1,234,1350,93.72,
8,165,3.38,23.99,171.82,3.59,4.88,681.11,0.02,-0.1,-74.56,2072,0,0.1,254,1321,91.59,
9,189,3.41,24.29,172.86,3.66,4.81,860.74,0.05,-0.1,-74.55,2670,0,0.1,276,1292,89.13,
10,212,3.43,24.43,174.01,3.74,4.74,1051.2,0.08,-0.1,-74.55,3310,0,0.11,297,1264,86.59,
11,236,3.45,25.34,175.27,3.82,4.67,1275.58,0.12,-0.1,-74.55,4028,0,0.12,323,1235,83.67,
12,260,3.48,26.08,176.67,3.91,4.6,1516.91,0.18,-0.1,-74.54,4805,0,0.13,348,1205,80.62,
13,284,3.49,26.14,177.84,3.99,4.53,1778.95,0.25,-0.1,-74.53,5641,0,0.14,374,1181,77.41,
14,308,3.51,26.09,179.4,4.09,4.47,2055.24,0.34,-0.1,-74.53,6513,0,0.15,399,1150,74.14,
15,333,3.5,25.87,181,4.19,4.4,2364.24,0.45,-0.1,-74.52,7532,0,0.16,426,1119,70.62,
16,359,3.6,26.75,182.7,4.3,4.33,2682.83,0.56,-0.1,-74.5,8637,0,0.16,451,1086,67.12,
17,387,3.75,28.01,184.44,4.41,4.26,3045.48,0.7,-0.1,-74.49,9950,0,0.17,479,1053,63.32,
18,414,3.83,28.79,186.27,4.53,4.19,3403.77,0.84,-0.1,-74.48,11287,0,0.18,506,1017,59.74,
19,445,3.95,29.96,188.1,4.65,4.12,3818.43,1,-0.1,-74.46,12896,0,0.18,536,981,55.8,
20,475,4.05,30.93,189.6,4.75,4.05,4235.49,1.17,-0.1,-74.45,14574,0,0.19,566,951,52.06,
21,506,4.16,32.07,191.52,4.89,3.98,4688.45,1.36,-0.1,-74.43,16466,0,0.19,597,911,48.22,
22,539,4.31,33.47,193.4,5.02,3.92,5170.28,1.56,-0.1,-74.41,18568,0,0.2,629,870,44.4,
23,574,4.47,35.07,195.32,5.17,3.85,5682.42,1.78,-0.1,-74.39,20912,0,0.2,663,827,40.61,
24,610,4.64,36.7,197.17,5.31,3.78,6226.46,2.01,-0.1,-74.37,23529,0,0.21,699,782,36.87,
25,647,4.78,38.11,199.02,5.47,3.71,6803.96,2.25,-0.1,-74.34,26438,0,0.21,736,734,33.22,
26,686,4.91,39.42,200.78,5.62,3.64,7416.29,2.52,-0.1,-74.32,29654,0,0.22,774,685,29.67,
27,727,5.06,40.85,202.15,5.75,3.57,8064.78,2.79,-0.1,-74.29,33215,0,0.22,814,643,26.25,
28,769,5.21,42.38,203.81,5.91,3.51,8750.86,3.09,-0.1,-74.26,37162,0,0.22,855,589,22.99,
29,812,5.39,44.12,205.33,6.08,3.44,9476.05,3.4,-0.1,-74.23,41549,0,0.23,898,533,19.94,
30,858,5.58,45.97,206.74,6.25,3.37,10242.06,3.73,-0.1,-74.2,46439,0,0.23,943,474,17.16,
31,906,5.77,47.93,207.99,6.42,3.3,11067.3,4.08,-0.1,-74.17,52010,0,0.23,991,413,14.6,
32,953,5.96,49.8,209.12,6.59,3.23,11886.23,4.43,-0.1,-74.13,57861,0,0.24,1037,349,12.43,
33,1006,6.16,51.7,210.09,6.77,3.16,12821.56,4.82,-0.1,-74.1,64936,0,0.24,1090,283,10.35,
34,1057,6.33,53.46,210.79,6.92,3.1,13731.04,5.21,-0.1,-74.06,72224,0,0.24,1140,229,8.66,
35,1114,6.54,55.49,211.57,7.11,3.02,14768.13,5.65,-0.1,-74.02,81057,0,0.25,1197,158,7.07,
