Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,7,2.14,11.27,112.84,2.15,5.36,79.72,0,-0.1,-74.56,80,0,0.1,175,1523,100.17,
2,17,2.16,12.29,112.87,2.16,5.31,91.11,0,-0.1,-74.56,104,0,0.1,179,1506,100,
3,30,2.18,12.21,112.96,2.18,5.27,114.61,0.01,-0.1,-74.56,153,0,0.1,186,1485,99.66,
4,41,2.19,11.97,113.09,2.21,5.22,146.88,0.02,-0.1,-74.56,223,0,0.1,192,1465,99.18,
5,53,2.2,11.9,113.26,2.23,5.17,193.76,0.03,-0.1,-74.55,325,0,0.1,198,1445,98.5,
6,65,2.22,12,113.49,2.25,5.13,248.36,0.05,-0.1,-74.55,447,0,0.1,201,1425,97.7,
7,77,2.23,12.11,113.77,2.28,5.08,319.98,0.07,-0.1,-74.55,607,0,0.11,206,1406,96.67,
8,89,2.24,12.21,114.1,2.31,5.04,399.44,0.08,-0.1,-74.55,785,0,0.11,212,1386,95.53,
9,101,2.25,12.29,114.39,2.33,4.99,492.59,0.1,-0.1,-74.55,996,0,0.11,218,1371,94.21,
10,113,2.25,12.39,114.81,2.36,4.94,598.03,0.12,-0.1,-74.55,1235,0,0.11,225,1353,92.73,
11,126,2.27,12.51,115.28,2.4,4.9,715.85,0.14,-0.1,-74.54,1504,0,0.11,232,1334,91.1,
12,138,2.29,13.07,115.79,2.43,4.85,846.14,0.16,-0.1,-74.54,1802,0,0.12,241,1315,89.32,
13,151,2.3,13.41,116.35,2.47,4.81,988.67,0.19,-0.1,-74.54,2124,0,0.12,252,1297,87.41,
14,164,2.31,13.54,116.95,2.5,4.76,1143.24,0.22,-0.1,-74.54,2472,0,0.13,264,1279,85.37,
15,178,2.33,13.84,117.61,2.54,4.72,1309.96,0.26,-0.1,-74.53,2851,0,0.14,277,1260,83.22,
16,191,2.34,14.33,118.15,2.57,4.67,1488.6,0.3,-0.1,-74.53,3248,0,0.15,291,1245,80.96,
17,204,2.36,14.58,118.86,2.62,4.62,1678.67,0.36,-0.1,-74.52,3664,0,0.16,305,1227,78.61,
18,218,2.38,14.86,119.62,2.66,4.58,1880.62,0.42,-0.1,-74.52,4125,0,0.17,319,1207,76.18,
19,233,2.42,14.81,120.39,2.71,4.53,2099.32,0.49,-0.1,-74.51,4637,0,0.18,333,1188,73.61,
20,247,2.43,15.06,121.21,2.75,4.49,2317.29,0.57,-0.1,-74.5,5151,0,0.19,347,1168,71.13,
21,262,2.45,15.18,122.05,2.8,4.44,2566.89,0.65,-0.1,-74.5,5747,0,0.19,362,1149,68.36,
22,277,2.46,15.2,122.74,2.84,4.39,2809.88,0.74,-0.1,-74.49,6332,0,0.2,376,1132,65.75,
23,293,2.47,15.34,123.81,2.9,4.35,3086.93,0.85,-0.1,-74.48,7006,0,0.21,391,1107,62.88,
24,307,2.47,15.27,124.54,2.95,4.3,3355.55,0.95,-0.1,-74.47,7664,0,0.22,406,1090,60.19,
25,323,2.45,15.07,125.47,3,4.26,3660.5,1.07,-0.1,-74.46,8409,0,0.22,421,1068,57.26,
26,337,2.47,15.29,126.39,3.06,4.21,3954.87,1.19,-0.1,-74.44,9136,0,0.23,435,1045,54.53,
27,354,2.55,15.96,127.34,3.12,4.16,4288.16,1.32,-0.1,-74.43,9985,0,0.24,450,1021,51.58,
28,369,2.59,16.4,128.27,3.17,4.12,4609.78,1.45,-0.1,-74.42,10829,0,0.24,465,997,48.85,
29,386,2.63,16.73,129.23,3.23,4.07,4973.82,1.6,-0.1,-74.41,11802,0,0.25,482,972,45.91,
30,403,2.68,17.19,129.98,3.28,4.03,5324.67,1.74,-0.1,-74.39,12761,0,0.25,497,951,43.2,
31,424,3.36,23.94,156.3,4,3.98,5721.73,1.9,-0.1,-74.38,13975,0,0.26,517,924,40.31,
32,456,4.49,34.96,196.79,5.12,3.91,6112.9,2.06,-0.1,-74.36,15754,0,0.27,548,881,37.61,
33,494,4.63,36.34,198.2,5.25,3.84,6571.02,2.24,-0.1,-74.34,17943,0,0.27,583,835,34.64,
34,529,4.78,37.83,199.66,5.39,3.77,7026.87,2.42,-0.1,-74.33,20212,0,0.28,618,787,31.87,
35,570,4.95,39.58,201.09,5.53,3.7,7558.02,2.63,-0.1,-74.31,22978,0,0.29,657,737,28.88,
