Time,Velocity,GForce,Acceleration,Thrust,TWR,Mass,AltitudeFromTerrain,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,VesselDeltaV,Pressure,
1,6,2.11,10.96,111.15,2.11,5.36,79.69,0,-0.1,-74.56,79,0,0.1,175,1523,100.17,
2,17,2.13,11.12,111.19,2.13,5.31,90.98,0,-0.1,-74.56,103,0,0.1,176,1506,100.01,
3,36,3.26,22.19,168.62,3.27,5.25,117.83,0,-0.1,-74.56,183,0,0.1,179,1478,99.61,
4,58,3.29,22.52,168.84,3.31,5.18,163.29,0,-0.1,-74.56,333,0,0.1,184,1452,98.95,
5,82,3.32,22.83,169.25,3.37,5.11,236.04,0,-0.1,-74.56,575,0,0.1,193,1420,97.89,
6,104,3.35,23.07,169.82,3.43,5.05,325.15,0,-0.1,-74.56,874,0,0.1,203,1390,96.6,
7,128,3.37,23.34,170.54,3.49,4.98,445.74,0,-0.1,-74.56,1283,0,0.1,216,1359,94.88,
8,150,3.4,23.62,171.23,3.55,4.91,579.52,0,-0.1,-74.56,1741,0,0.1,231,1335,93,
9,175,3.44,23.96,172.22,3.62,4.84,749.1,0,-0.1,-74.56,2328,0,0.1,247,1305,90.65,
10,198,3.47,24.25,173.13,3.69,4.77,928.68,0,-0.1,-74.56,2957,0,0.1,264,1281,88.22,
11,224,3.49,24.52,174.41,3.77,4.7,1148.51,0,-0.1,-74.56,3735,0,0.1,284,1251,85.32,
12,248,3.52,24.76,175.8,3.86,4.64,1375.01,0,-0.1,-74.56,4544,0,0.1,303,1221,82.41,
91,0,0,0,0,0,0,74.86,5.16,0.21,-74.95,91,0,8.61,0,0,100.21,
